20240917_1900 | w2v_20240912_skip_mc8_w8_v50 	| cos 	| 0.9757 	|  0.0243 | 0.0196 | 17.22s 
20240917_1900 | w2v_20240910_sg1_mc8_w44_v25 	| euc 	| 0.9309 	|  0.0691 | 0.0196 | 18.14s 
20240917_1900 | w2v_20240910_sg1_mc8_w44_v25 	| cos 	| 0.9642 	|  0.0358 | 0.0196 | 18.65s 
20240917_1900 | w2v_20240911_sg1_mc1_w5_v10 	| euc 	| 0.9634 	|  0.0366 | 0.0196 | 55.4s 
20240917_1900 | w2v_20240911_sg1_mc1_w5_v10 	| cos 	| 0.9751 	|  0.0249 | 0.0196 | 58.23s 
20240917_1900 | w2v_20240910_sg1_mc3_w13_v5 	| euc 	| 0.9441 	|  0.0559 | 0.0196 | 44.6s 
20240917_1900 | w2v_20240910_sg1_mc3_w13_v5 	| cos 	| 0.9564 	|  0.0436 | 0.0196 | 28.14s 
20240917_1900 | w2v_20240910_sg1_mc3_w21_v50 	| euc 	| 0.9445 	|  0.0555 | 0.0196 | 24.47s 
20240917_1900 | w2v_20240910_sg1_mc3_w21_v50 	| cos 	| 0.9773 	|  0.0227 | 0.0196 | 33.45s 
20240917_1900 | w2v_20240911_skip_mc5_w13_v25 	| euc 	| 0.9372 	|  0.0628 | 0.0196 | 31.22s 
20240917_1900 | w2v_20240911_skip_mc5_w13_v25 	| cos 	| 0.9622 	|  0.0378 | 0.0196 | 33.45s 
20240917_1900 | w2v_20240912_skip_mc8_w5_v50 	| euc 	| 0.9545 	|  0.0455 | 0.0196 | 26.16s 
20240917_1900 | w2v_20240912_skip_mc8_w5_v50 	| cos 	| 0.9775 	|  0.0225 | 0.0196 | 23.76s 
20240917_1900 | w2v_20240910_sg1_mc3_w13_v10 	| euc 	| 0.9559 	|  0.0441 | 0.0196 | 33.46s 
20240917_1900 | w2v_20240910_sg1_mc3_w13_v10 	| cos 	| 0.9677 	|  0.0323 | 0.0196 | 29.99s 
20240917_1900 | w2v_20240911_skip_mc8_w3_v25 	| euc 	| 0.9489 	|  0.0511 | 0.0196 | 19.58s 
20240917_1900 | w2v_20240911_skip_mc8_w3_v25 	| cos 	| 0.9543 	|  0.0457 | 0.0196 | 23.75s 
